priority,overall_score,site,domain,prospect_type,mix,relevant_page,contact_person,role,public_contact_route,country,language,authority_signal,relevance_score,asset_fit,likelihood,recommended_asset,recommended_asset_url,why_they_might_link,pitch_angle,example_subject,competitor_gap,do_not_send,risk,campaign
HIGH,78,Strength Running,strengthrunning.com,COACH_RESOURCE,coach,https://strengthrunning.com/2011/11/how-to-choose-running-shoes/,Jason Fitzgerald,coach,strengthrunning.com/contact — no email stored.,US,en,74,90,86,64,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,"The article argues fit over gait labels — same thesis as Kitletics' how-to-choose page, with a finder for readers who want a next step.",How to Choose Running Shoes + Running Shoe Finder for readers who finish the essay and still need a shortlist.,A decision tool for readers who finish How to Choose Running Shoes,,no,SAFE,campaign-finder
HIGH,78,iRunFar trail shoe review index,irunfar.com,RESOURCE_PAGE,publication,https://www.irunfar.com/trail-running-shoe-reviews,Bryon Powell,editor,irunfar.com/about — no email stored.,US,en,88,84,96,44,Running Shoe Database,/running/shoes/database,The directory is reviews; a spec catalog is the missing cross-model lookup (weight/drop/stack) for models they have not re-reviewed this season.,"Position the database as a spec sidecar to the review index, not a replacement for iRunFar tests.",A spec sidecar for the trail shoe review index,,no,SAFE,campaign-database
HIGH,78,ProRun — Bas Stigter shoe video,prorun.nl,EXPERT_QUOTE,journalist,https://www.prorun.nl/video/waar-let-je-op-bij-het-kopen-van-hardloopschoenen-tips-van-bas-stigter/,Bas Stigter,gear_editor,ProRun video page / colofon — no email stored.,NL,nl,78,90,86,60,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Description box can point from the video to a durable written choose-shoes guide and finder.,How to Choose Running Shoes as the written companion to the Bas Stigter video.,Een geschreven schoengids onder de video van Bas Stigter,,no,SAFE,campaign-finder
HIGH,78,Runners.nl shoe FAQ,runners.nl,RESOURCE_PAGE,publication,https://www.runners.nl/nieuws/1297668/hardloopschoenen-faq.html,,running_editor,runners.nl contact — no email stored.,NL,nl,70,90,92,64,Running Shoe Finder,/tools/running-shoe-finder,FAQ answers definitions; the finder helps the reader who still does not know which shoe to try.,Running Shoe Finder as the next step after the FAQ.,Een schoenkiezer onder jullie hardloopschoenen-FAQ,,no,SAFE,campaign-finder
HIGH,78,Wirecutter,nytimes.com,ROUNDUP_INCLUSION,mainstream,https://www.nytimes.com/wirecutter/reviews/best-running-shoes/,,commerce_editor,Wirecutter contact / tips forms — no email stored.,US,en,96,88,96,24,Running Shoe Database,/running/shoes/database,Scout-report / sources section sometimes cites specialist databases. Kitletics is a public spec table their researchers can check.,Offer the database as a public spec source for the scout report — not a request to replace their picks.,A public spec table for Wirecutter’s running-shoe scout report,,no,SAFE,campaign-database
HIGH,78,Running Warehouse — offsets explained,runningwarehouse.com,DATA_CITATION,retailer,https://www.runningwarehouse.com/learningcenter/gear_guides/footwear/heel-toe-drop.html,,unknown,runningwarehouse.com/contact — no email stored.,US,en,76,94,96,48,Running Shoe Database,/running/shoes/database,The page tells people to subtract heel and forefoot heights; a current catalog is that lookup.,Database as the live heel/forefoot/drop table the Learning Center article currently asks readers to assemble by hand.,A live drop/stack table for the Running Warehouse offset explainer,,no,REVIEW,campaign-database
HIGH,77,Fellrnr — what to look for in shoes,fellrnr.com,RESOURCE_PAGE,research,http://fellrnr.com/wiki/What_to_Look_for_in_Running_Shoes,,site_owner,Same operator as the metric table — no email stored.,US,en,72,90,86,62,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,The explainer already sends readers to specs; a current catalog plus a how-to-choose page is the missing public lookup.,Pair the wiki explainer with How to Choose Running Shoes and the live database for numbers.,A public lookup to sit next to What to Look for in Running Shoes,,no,SAFE,campaign-database
HIGH,77,Athletics Weekly,athleticsweekly.com,RESOURCE_PAGE,publication,https://athleticsweekly.com/performance/how-to-choose-the-right-running-shoes-1039931423/,,sports_editor,athleticsweekly.com/contact — no email stored.,GB,en,82,88,86,52,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,The piece already exists as further reading; Kitletics' guide is a durable companion with a finder attached.,How to Choose Running Shoes as a cited explainer; Finder for readers who want a shortlist.,A durable choose-shoes companion to your AW footwear explainer,,no,SAFE,campaign-finder
HIGH,77,The Morning Shakeout,themorningshakeout.com,NEWSLETTER,newsletter,https://themorningshakeout.com/about/,Mario Fraioli,newsletter_editor,https://themorningshakeout.com/about/,US,en,72,84,96,58,Running Shoe Database,/running/shoes/database,"Mario already writes industry notes; a current catalog is a one-line resource, not a roundup ask.","One-sentence resource: searchable current drop/stack/weight catalog, no account.",A current running-shoe spec catalog you can mention once,,no,SAFE,campaign-database
HIGH,77,Sweat Science (Alex Hutchinson),sweatscience.substack.com,RESEARCH_CITATION,journalist,https://sweatscience.substack.com/p/running-shoe-comfort-ketones-for,Alex Hutchinson,data_journalist,Sweat Science Substack / Outside contributor page — no email stored.,CA,en,88,82,96,40,Running Shoe Database,/running/shoes/database,He cites studies; a transparent catalog with sample sizes is a methods-friendly supporting source when a column needs current market context.,"Database + methodology, never a Best page. Market 2026 only when a URL exists.",A documented running-shoe catalog (with coverage) for shoe-science columns,,no,SAFE,campaign-market-2026
HIGH,77,Veloci Running,velocirunning.com,COMPETITOR_LINK_GAP,publication,https://velocirunning.com/blogs/informational/running-shoe-heel-drop-guide,,site_owner,velocirunning.com/blogs contact — no email stored.,US,en,50,93,96,74,Running Shoe Database,/running/shoes/database,"They already cite a lab-data explainer. Kitletics is a current catalog of the same millimetres across the market, complementary to RunRepeat’s lab cuts.","Complementary public catalog: current models’ published drop/stack/weight, with coverage — not a claim to replace RunRepeat lab tests.",A current drop catalog to sit beside your RunRepeat citation,Cites RunRepeat (runrepeat.com/guides/heel-to-toe-drop) as source [3] in the heel-drop guide.,no,SAFE,campaign-database
HIGH,77,ShoeFitLab — 2026 heel-drop study,shoefitlab.com,DATABASE_CITATION,research,https://shoefitlab.com/blog/heel-drop-stack-height-study-2026,,data_journalist,shoefitlab.com contact / about — no email stored.,US,en,64,94,96,50,Running Shoe Database,/running/shoes/database,"They already do market math; Kitletics is a current, regional-price catalog they can cite when a figure needs a living source. Do not pitch unpublished Market 2026 numbers.","Live database as a second public table for readers who want to inspect the current catalog, not a competing study claim.",A public spec catalog to sit beside your 2026 drop/stack snapshot,,no,SAFE,campaign-market-2026
HIGH,77,TrainingPeaks — find your perfect shoe,trainingpeaks.com,COACH_RESOURCE,coach,https://www.trainingpeaks.com/blog/how-to-find-your-perfect-running-shoe/,Lexi Miller,coach,trainingpeaks.com/blog contact / author page — no email stored.,US,en,82,88,92,48,Running Shoe Finder,/tools/running-shoe-finder,Coaches reading TrainingPeaks still need a way to shortlist daily vs workout shoes for athletes.,Finder as the athlete-facing shortlist; database if they want drop numbers.,A shoe finder coaches can send athletes after your perfect-shoe article,,no,SAFE,campaign-finder
HIGH,76,Strength Running × Matt Klein,strengthrunning.com,EXPERT_QUOTE,podcast,https://strengthrunning.com/2023/07/how-to-choose-the-perfect-running-shoe-matt-klein/,Jason Fitzgerald,coach,strengthrunning.com/contact — no email stored.,US,en,74,88,82,58,Best Daily Trainers,/best/daily-trainers,Show notes already send people to a clinician; Best Daily Trainers + Finder is the practical next click for easy-day shoes.,Daily-trainer shortlist and finder as the listener next step after the Klein interview.,A daily-trainer next step for the Matt Klein shoe episode,"Page features Doctors of Running (Matt Klein). Kitletics is a complementary public catalog, not a substitute review lab.",no,SAFE,campaign-finder
HIGH,76,Runner's World,runnersworld.com,RESOURCE_PAGE,publication,https://www.runnersworld.com/gear/a20842305/how-to-buy-the-right-running-shoes/,,gear_editor,HARO / Qwoted / Featured or public masthead later — no email stored.,US,en,94,90,86,28,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Only as a supporting dataset/finder if a gear editor is updating the anatomy section — not a cold Best-of swap.,Database as the spec lookup inside the anatomy/drop section; never pitch the homepage.,A current spec lookup for the RW how-to-buy anatomy section,,no,SAFE,campaign-finder
HIGH,76,Trail Runner,trailrunnermag.com,RESOURCE_PAGE,publication,https://www.trailrunnermag.com/gear/shoes/tips-for-picking-your-next-trail-shoes/,,gear_editor,trailrunnermag.com/contact — no email stored.,US,en,80,84,96,46,Running Shoe Database,/running/shoes/database,Terrain advice still leaves readers needing specs (drop/stack/weight) for models they already like on the road.,Database as the spec check when matching a trail shoe to a known road drop.,A spec check when matching trail shoes to a road drop,,no,SAFE,campaign-database
HIGH,76,ModPod Podiatry,modpodpodiatry.com.au,UNIVERSITY_RESEARCH,research,https://www.modpodpodiatry.com.au/running-shoe-drop-explained/,,unknown,Clinic contact form — no email stored.,AU,en,52,90,96,68,Running Shoe Database,/running/shoes/database,Patients are told to match drop to injury history; a catalog lets them check the drop of shoes they already own.,Database as the millimetre lookup under the clinic explainer.,A drop/stack lookup for patients reading your offset explainer,,no,SAFE,campaign-database
HIGH,76,Doctors of Running resource hub,doctorsofrunning.com,RESEARCH_CITATION,publication,https://www.doctorsofrunning.com/reviews/,Matt Klein,unknown,doctorsofrunning.com contact — no email stored.,US,en,82,88,96,28,Running Shoe Database,/running/shoes/database,Their resource pages are reviews + clinical guides. A public spec catalog is complementary if they want a living table they do not maintain.,Peer offer: current catalog for stack/drop/weight. Import referring domains first.,A public spec catalog that sits beside DoR resource pages (not a review replacement),Competitor. Sites that already link here are the real queue via CSV import.,yes,SAFE,campaign-database
HIGH,76,NextGait — heel drop explained,nextgait.com,UNIVERSITY_RESEARCH,research,https://nextgait.com/heel-drop-explained-for-runners/,,unknown,nextgait.com contact — no email stored.,US,en,60,92,96,54,Running Shoe Database,/running/shoes/database,Tables tell patients which drop range to start in; they still need current models in that range.,Database filtered by drop as the living table next to the clinical ranges.,A searchable drop catalog for the NextGait heel-drop tables,,no,SAFE,campaign-database
HIGH,76,Laura Norris — switching models,lauranorrisrunning.com,COACH_RESOURCE,coach,https://lauranorrisrunning.com/switch-new-pair-running-shoes/,Laura Norris,coach,lauranorrisrunning.com — no email stored.,US,en,66,88,92,56,Running Shoe Finder,/tools/running-shoe-finder,"When a model dies, Finder + database is how athletes stay in the same drop/cushion band.","Finder for ‘my shoe was discontinued’ — match drop and job, not a random replacement.",A shoe finder for the discontinued-model article,,no,SAFE,campaign-finder
HIGH,75,Wirecutter carbon-plate explainer,nytimes.com,DATA_CITATION,mainstream,https://www.nytimes.com/wirecutter/reviews/carbon-plate-running-shoes/,,commerce_editor,Wirecutter tips — no email stored.,US,en,96,80,96,22,Running Shoe Database,/running/shoes/database,"If they update the explainer, a live catalog (plated flag + weight/price when computable) is the supporting table.",Live database now; carbon study only after a public URL.,A current catalog (including plated models) for the carbon-plate explainer,,no,SAFE,campaign-market-2026
HIGH,75,REI Expert Advice,rei.com,RETAILER_RESOURCE,retailer,https://www.rei.com/learn/expert-advice/running-shoes.html,,unknown,REI Learn / expert advice contact — no email stored.,US,en,90,86,86,38,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Further-reading / related-reading blocks already exist on REI Learn. Independent how-to + finder is a non-SKU cite.,How to Choose Running Shoes + Finder. Never a product PDP.,An independent choose-shoes guide for REI Expert Advice further reading,,no,REVIEW,campaign-finder
MEDIUM,74,Runners Blueprint,runnersblueprint.com,COACH_RESOURCE,coach,https://www.runnersblueprint.com/heel-to-toe-drop/,,coach,runnersblueprint.com/contact or about — no email stored.,US,en,60,88,86,68,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,The page already teaches drop; Kitletics can add a how-to-choose guide and a catalog so readers do not stop at a table of ranges.,How to Choose Running Shoes as the teaching companion; database for millimetre lookup.,A choose-shoes guide to sit next to your drop explainer,,no,SAFE,campaign-finder
MEDIUM,74,Runner's World UK,runnersworld.com,RESOURCE_PAGE,publication,https://www.runnersworld.com/uk/gear/shoes/a60800005/how-to-choose-running-shoes/,,gear_editor,RW UK masthead / source requests — no email stored.,GB,en,90,86,86,26,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Education URL already exists; Kitletics is a supporting how-to and finder if the UK desk updates further reading.,"How to Choose Running Shoes as a supporting explainer, not a competing UK roundup.",A supporting choose-shoes explainer for the RW UK guide,,no,SAFE,campaign-finder
MEDIUM,74,Running Warehouse Learning Center,runningwarehouse.com,RETAILER_RESOURCE,retailer,https://www.runningwarehouse.com/learningcenter/gear_guides/footwear/how_to_pick_running_shoes.html,,unknown,runningwarehouse.com/contact — no email stored.,US,en,76,88,92,42,Running Shoe Finder,/tools/running-shoe-finder,Learning Center already hosts guides; an independent finder is a non-SKU tool they can cite for readers still stuck after the article.,"Running Shoe Finder as a decision tool, not a competing store.",An independent shoe finder for the Learning Center,,no,REVIEW,campaign-finder
MEDIUM,74,Tri-State Outfitters,t-state.com,RETAILER_RESOURCE,retailer,https://t-state.com/stack-height-and-heel-drop/,,site_owner,t-state.com contact — no email stored.,US,en,48,88,96,70,Running Shoe Database,/running/shoes/database,They already teach the specs; a live catalog is the national lookup their local article cannot maintain.,Database as the always-current spec table next to the explainer.,A current stack/drop catalog beside your shop explainer,,no,REVIEW,campaign-database
MEDIUM,74,Cleveland Clinic,health.clevelandclinic.org,UNIVERSITY_RESEARCH,research,https://health.clevelandclinic.org/how-to-pick-the-running-shoe-that-is-best-for-you,"Christina Schilero, DPM",unknown,Cleveland Clinic media / health.clevelandclinic.org — no email stored.,US,en,90,84,86,34,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Further-reading on a patient explainer; Kitletics how-to-choose is consumer-facing and non-commercial enough if they allow external resources.,How to Choose Running Shoes as a patient-friendly next read. Never a Best-of.,A patient-friendly choose-shoes guide to pair with the Clinic explainer,,no,SAFE,campaign-finder
MEDIUM,74,Road Runners Club of America,rrca.org,RUNNING_CLUB,club,https://www.rrca.org/education/for-runners/,,unknown,rrca.org/about / national office listing — no email stored.,US,en,76,80,92,58,Running Shoe Finder,/tools/running-shoe-finder,The getting-started block is thin on how to choose a first shoe; Finder + how-to-choose is the missing tool for club newbies.,Running Shoe Finder + How to Choose Running Shoes for the For Runners education page.,A first-shoe finder for RRCA’s For Runners page,,no,SAFE,campaign-finder
MEDIUM,74,Runners Connect,runnersconnect.net,COACH_RESOURCE,coach,https://runnersconnect.net/running-interviews/how-to-find-your-perfect-shoe-for-race-day/,,coach,runnersconnect.net/contact — no email stored.,US,en,68,84,92,56,Running Shoe Finder,/tools/running-shoe-finder,Show notes argue comfort over marketing; Finder operationalises that for listeners.,Running Shoe Finder as the listener next step after the race-day shoe episode.,A shoe finder for listeners of the race-day shoe episode,,no,SAFE,campaign-finder
MEDIUM,74,Road Trail Run review index,roadtrailrun.com,DATABASE_CITATION,publication,https://www.roadtrailrun.com/p/blog-page.html,,editor,roadtrailrun.com about/contact — no email stored.,US,en,78,86,96,26,Running Shoe Database,/running/shoes/database,Reviews already list stack/drop/weight per shoe; a cross-market catalog is useful when a comparison roundup needs more than ten models.,Database as a wider-market spec table for comparison roundups.,A wider-market spec table for RTR comparison roundups,Competitor. Import referring domains. Individual comparison posts (e.g. super-trainer roundups) are the pitch surface.,yes,SAFE,campaign-database
MEDIUM,74,Runners.nl — marathonschoenen,runners.nl,RESOURCE_PAGE,publication,https://www.runners.nl/nieuws/marathonschoenen-bepalen,,editor,runners.nl redactie / contact — no email stored.,NL,nl,72,88,82,52,Best Daily Trainers,/best/daily-trainers,The piece warns against racing in an untested carbon shoe; Best Daily Trainers is the training-shoe counterpart.,Daily trainers guide for the ‘do not race in an untested shoe’ section.,Een daily-trainer gids bij jullie marathonschoen-artikel,,no,SAFE,campaign-finder
MEDIUM,74,The Guardian — best running shoes UK,theguardian.com,ROUNDUP_INCLUSION,mainstream,https://www.theguardian.com/thefilter/2026/apr/24/best-running-shoes-men-women-uk-tested,,commerce_editor,Guardian Filter / source-request platforms — no email stored.,GB,en,94,78,96,22,Running Shoe Database,/running/shoes/database,Roundup already publishes drop; a public catalog is the ‘how we checked specs’ cite.,"Database as the spec-check source under the methodology, never a competing Top 10.",A public spec catalog if The Filter wants a living drop/weight source,,no,SAFE,campaign-database
MEDIUM,74,The Guardian US — women’s running shoes,theguardian.com,DATA_CITATION,mainstream,https://www.theguardian.com/thefilter-us/2026/aug/23/best-womens-trail-road-running-shoes,,commerce_editor,Guardian Filter US — no email stored.,US,en,94,80,96,20,Running Shoe Database,/running/shoes/database,They already treat stack/drop as required fields; a living catalog is the update path between tests.,Database as the living spec table between annual Filter tests.,A living stack/drop table between Filter shoe tests,,no,SAFE,campaign-database
MEDIUM,74,Tread Lightly Podcast — shoe jargon,lauranorrisrunning.com,PODCAST,podcast,https://lauranorrisrunning.com/tread-lightly-podcast/,Laura Norris,coach,lauranorrisrunning.com/tread-lightly-podcast — no email stored.,US,en,64,86,96,48,Running Shoe Database,/running/shoes/database,Show notes for a jargon episode are the natural place for a public spec catalog.,Database as the one resource in shoe-jargon show notes. Do not ask for a spoken ad.,A spec catalog for the Tread Lightly shoe-jargon episode notes,,no,SAFE,campaign-database
MEDIUM,73,Canadian Running Shakeout Podcast,runningmagazine.ca,PODCAST,podcast,https://runningmagazine.ca/shakeout-podcast/the-shakeout-podcast-alex-hutchinson-breaks-down-the-carbon-shoe-revolution/,Kate Van Buskirk,running_editor,runningmagazine.ca/contact — no email stored.,CA,en,76,78,96,40,Running Shoe Database,/running/shoes/database,Show notes for a science-of-shoes episode can list a public catalog. Do not claim Market 2026 is published.,Database as a public spec source in carbon-shoe show notes.,A public spec catalog for carbon-shoe episode notes,,no,SAFE,campaign-market-2026
MEDIUM,73,Fleet Feet — heel-to-toe drop,fleetfeet.com,RETAILER_RESOURCE,retailer,https://www.fleetfeet.com/blog/what-is-heel-to-toe-drop-and-why-does-it-matter,,unknown,fleetfeet.com/contact or store education desk — no email stored.,US,en,80,90,80,40,Running Shoe Drop Explained,/guides/running-shoe-drop,Readers still leave the article without a way to look up current model drop numbers.,"Drop guide + database as the lookup after the explainer. Independent, not a competing store.",A drop lookup to sit under the Fleet Feet heel-to-toe explainer,,no,REVIEW,campaign-database
MEDIUM,73,Marathon Sports — Running Shoes 101,marathonsports.com,RETAILER_RESOURCE,retailer,https://www.marathonsports.com/blog/running-shoes-101-your-guide-to-choosing-running-shoes,,unknown,marathonsports.com contact — no email stored.,US,en,70,88,92,44,Running Shoe Finder,/tools/running-shoe-finder,The article still sends people into the store; Finder helps remote readers shortlist before a gait analysis.,"Running Shoe Finder as a pre-visit shortlist, not a replacement for their fitting.",A pre-visit shoe finder for the Running Shoes 101 page,,no,REVIEW,campaign-finder
MEDIUM,73,De Hardloopwinkel — schoenen voor beginners,dehardloopwinkel.nl,RETAILER_RESOURCE,retailer,https://www.dehardloopwinkel.nl/blog/hardloopschoenen-voor-beginners/,,unknown,dehardloopwinkel.nl contact — no email stored.,NL,nl,62,90,92,50,Running Shoe Finder,/tools/running-shoe-finder,Beginners still leave the article needing a way to match job (easy miles vs race). Finder is that filter.,Nederlandse schoenkiezer naast het beginner-artikel — geen webshop-concurrentie-pitch.,Een onafhankelijke schoenkiezer bij jullie beginner-gids,,no,REVIEW,campaign-finder
MEDIUM,73,McMillan Running — super shoes,mcmillanrunning.com,COACH_RESOURCE,coach,https://www.mcmillanrunning.com/super-shoes/,Greg McMillan,coach,mcmillanrunning.com contact — no email stored.,US,en,76,84,82,50,Best Daily Trainers,/best/daily-trainers,Athletes still ask ‘what do I wear on easy days’; Best Daily Trainers answers without pushing a plated shoe.,Best Daily Trainers as the easy-day counterpart to the super-shoe article.,A daily-trainer guide to sit next to your super-shoe advice,,no,SAFE,campaign-finder
MEDIUM,73,Stride Science (Laura Norris),lauranorrisrunning.substack.com,NEWSLETTER,newsletter,https://lauranorrisrunning.substack.com/about,Laura Norris,newsletter_editor,https://lauranorrisrunning.substack.com/about — no email stored.,US,en,64,80,96,52,Running Shoe Database,/running/shoes/database,Newsletter issues that mention drop or rotation can footnote a public catalog.,"One-line resource for a footwear issue: current drop/stack catalog, no account.",A public spec catalog if a Stride Science issue covers drop or rotation,,no,SAFE,campaign-database
MEDIUM,73,Slowtwitch — beginner running shoes,slowtwitch.com,RESOURCE_PAGE,publication,https://slowtwitch.com/running/a-beginners-guide-to-finding-the-perfect-running-shoe/,,editor,slowtwitch.com contact — no email stored.,US,en,74,82,92,46,Running Shoe Finder,/tools/running-shoe-finder,Triathletes still guess between daily trainers and race shoes; Finder forces the job question.,Finder as the shortlist before the run-shop visit the article already recommends.,A running-shoe finder for the Slowtwitch beginner guide,,no,SAFE,campaign-finder
MEDIUM,72,Runner's World Best Running Shoes,runnersworld.com,ROUNDUP_INCLUSION,publication,https://www.runnersworld.com/gear/a19663621/best-running-shoes/,,gear_editor,Source-request platforms — no email stored.,US,en,94,82,84,22,Best Running Shoes 2026,/best/running-shoes,"Unlikely as a primary cite. If they add ‘further testing’ links, the database is the honest offer; Best Guide only for methodology comparison.",Do not ask to be listed. Offer the database as a public spec table their testers can check.,A public spec table your shoe testers can check,,no,SAFE,campaign-database
MEDIUM,72,Women's Running,womensrunning.co.uk,ROUNDUP_INCLUSION,publication,https://www.womensrunning.co.uk/gear/the-best-trail-running-shoes/,,gear_editor,womensrunning.co.uk/contact — no email stored.,GB,en,72,80,86,50,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,How-to block can cite a durable choose-shoes guide; Finder for readers who are not trail-specific.,How to Choose Running Shoes as the education cite inside the how-to block.,A choose-shoes explainer for your trail-shoe how-to block,,no,SAFE,campaign-finder
MEDIUM,72,REI trail-shoe buying guide,rei.com,RETAILER_RESOURCE,retailer,https://www.rei.com/learn/expert-advice/trail-running-shoes.html,,unknown,REI Learn — no email stored.,US,en,90,78,86,34,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Trail guide tells people to match drop to road shoes — the database is how they check the road drop they already own.,Database as the drop/stack lookup when matching trail to road.,A drop lookup when matching trail shoes to a road rotation,,no,REVIEW,campaign-finder
MEDIUM,72,Michigan Foot Doctors,michiganfootdoctors.com,UNIVERSITY_RESEARCH,research,https://www.michiganfootdoctors.com/maximalist-vs-minimalist-shoes-podiatrist/,,unknown,Clinic contact — no email stored.,US,en,54,82,96,60,Running Shoe Database,/running/shoes/database,The article quotes millimetre bands; a live catalog shows which current models sit in each band.,Database as the current-model illustration of maximalist vs minimalist ranges.,Current models in the stack/drop bands your podiatry explainer describes,,no,SAFE,campaign-database
MEDIUM,72,Fleet Feet — running shoe anatomy,fleetfeet.com,RETAILER_RESOURCE,retailer,https://www.fleetfeet.com/blog/running-shoe-anatomy-6-parts-that-shape-comfort-and-performance,,unknown,fleetfeet.com/contact — no email stored.,US,en,80,86,86,38,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Anatomy pages often end in a store CTA; an independent how-to-choose page is a complementary education cite.,How to Choose Running Shoes as the non-SKU explainer after anatomy.,A choose-shoes explainer to pair with your anatomy guide,,no,REVIEW,campaign-finder
