category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status,disposition,disposition_reason
accessories,weight_system,Bullpadel,Protector Custom Weight,Custom Weight Protector,current,unisex,black; 3–4 plate blisters (~3 g); Metalshield Pro compatible,https://www.bullpadel.com,current,https://www.padelmq.com/en-nl/products/bullpadel-protector-custom-weight-4-stuks|https://www.extreme-tennis.eu/padel-accessories/22424-bullpadel-custom-weight-4-x-3g.html,yes,yes,CURRENT,no,prod-bullpadel-custom-weight-protector,Weighted protector plates for Vertex/Hack Metalshield Pro (not Flow/Hack Comfort/Elite). Kitletics seeded.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Enebe,Aerox / Response / Spitfire Protectors,Enebe Protector line,current,unisex,colored PP ~37×3.5 cm; model graphics vary,https://enebepadel.com,current,https://enebepadel.com/en/catalogo/protector-padel-enebe-aerox-azul/|https://enebepadel.com/en/catalogo/protector-padel-enebe-response-oro/,yes,yes,CURRENT,no,prod-enebe-enebe-protector-line,Enebe PP protectors; Aerox/Response/Spitfire are design variants of same protector job — collapse graphics unless distinct materials.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,HEAD,Antishock Skin Padel,Antishock Skin,current,unisex,transparent; ~6 g,https://www.head.com/product/protector-antishock-skin,current,https://www.head.com/product/protector-antishock-skin|https://www.time2padel.com/en/paddle-accessories/31538-head-antishock-skin-padel-288503-head-726423569015.html|https://www.padelmq.com/en-eu/collections/%F0%9F%8E%BE-racket-accessoires,yes,yes,CURRENT,no,prod-head-antishock-skin,Lightweight ~6 g HEAD skin protector; priority protector gap vs Bullpadel/Nox only.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,HEAD,Ball Cart,HEAD Ball Cart,current,unisex,wheeled court cart,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-head-ball-cart,Wheeled ball cart for academies.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,training_aid,HEAD,Court Pro Ball Pick Up Tube,Pick Up Tube,current,unisex,orange/black pickup tube,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-pick-up-tube,Ball collection tube for coaches.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,HEAD,Court x70 Balls Basket,Court Basket 70,current,unisex,black; ~70-ball capacity,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-court-basket-70,Coach/club ball basket staple.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,Head,HEAD Ball Basket,Ball Basket,,unisex,,,current,,unknown,yes,CURRENT,no,prod-head-ball-basket,Club training basket — verify current HEAD SKU,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,frame_tape,Head,HEAD Frame Protector Tape,Protector Tape,,unisex,,,current,,unknown,yes,CURRENT,no,prod-head-protector-tape,Common HEAD protection tape SKU,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,sweatband,Head,HEAD Padel Headband,Headband,,unisex,,,current,,unknown,yes,CURRENT,no,prod-head-headband,Common padel sweat accessory,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Head,HEAD Padel Wristband,Wristband,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-head-wristband,Existing draft,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Head,HEAD X100 Basket Ball Pressurizer,X100,,unisex,,,current,https://www.padelnuestro.com/int/padel-accessories/ball-pressurizers,unknown,yes,CURRENT,no,prod-head-x100,Club-scale basket pressurizer,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Head,HEAD X3 Ball Pressurizer,X3,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-head-x3-pressurizer,Existing passive X3 tube,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,HEAD,Logo Wristbands (2.5in / 5in),HEAD Logo Wristband,current,unisex,small 2.5in / big 5in; white/navy colors,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-head-logo-wristband,Concrete HEAD wristband family for vague Kitletics draft.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,training_aid,HEAD,Performance Coaching Kit / Starter Pack,Coaching Kit,current,unisex,cones + poles + targets + lines kit,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-coaching-kit,Bundled coaching kit — may contain multiple training aids; catalog as kit SKU.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,training_aid,HEAD,Performance Dome Cones,Dome Cones,current,unisex,cone sets,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-dome-cones,Court cones for footwork drills.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,sweatband,HEAD,Performance HEADband / Pro Player Tieband,Performance HEADband,current,unisex,multiple colorways; tieband variants,https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/|https://padelmania.com/en/padel-accesaios/13807-head-headband-285080-rd-head-726424939039.html,yes,yes,CURRENT,no,prod-head-performance-headband,Headband/sweatband line distinct from wristbands.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,training_aid,HEAD,Performance Targets,HEAD Targets,current,unisex,court target set (often in coaching kit),https://www.head.com,current,https://www.misterpadel.com/en/padel-accessories/head/,yes,yes,CURRENT,no,prod-head-head-targets,Standalone or kit-included targets for glass/wall drills.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,other,HEAD,Smartsorb,Smartsorb,current,unisex,string-bed vibration dampener,https://www.head.com,current,https://www.totalpadel.com/descpageHEAD-HSZVIB-EN.html,yes,yes,CURRENT,yes,prod-head-smartsorb,Kitletics seeded; comfort preference dampener not protector.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,HEAD,X3 Pump,X3 Pump,current,unisex,manual transparent canister + pump; 3-ball (some listings say up to 4),https://www.head.com,current,https://padelproshop.com/en/products/pressurizer-head-x3-pump|https://www.tradeinn.com/smashinn/en/head-x3-balls-pressurizer---pump/141247900/p,yes,yes,CURRENT,no,prod-head-x3-pump,Kitletics seeded HEAD X3. Active pump recovery up to ~29–34 PSI class.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,HEAD,X4 / X4 Pump,X4 Pump,current,unisex,4-ball; pump and non-pump variants,https://www.head.com,current,https://www.zonadepadel.com/blog/2026/05/padel-pressurizers-how-they-work-if-theyre-worth-it-and-which-one-to-buy-in-2026/|https://actu-padel.com/en/top-3-padel-ball-pressurizers-for-2026-our-ranking/,yes,yes,CURRENT,no,prod-head-x4-pump,4-ball HEAD sibling; verify pump included per listing.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Kuikma / Decathlon,Ball Pressurizer,Kuikma/Decathlon pressurizer,unclear,unisex,intermittent Decathlon listings,https://www.decathlon.nl,unclear,https://www.decathlon.nl,unknown,likely,UNKNOWN,no,,NL Decathlon pressurizer presence inconsistent; prefer Bounce/Pascal/HEAD/TuboPlus over private-label unless confirmed.,verified,NOT_A_DISTINCT_PRODUCT,Combined multi-brand stub — not a single product identity.
accessories,training_aid,Nox,Ball Collecting Tube,Nox Pickup Tube,current,unisex,~16-ball tube,https://noxsport.com,current_retail,https://noxsport.com/,likely,yes,CURRENT,yes,prod-nox-nox-pickup-tube,Nox ball pickup tube cited in accessory roundups — confirm live PDP.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Nox,Colored Protection Tape Pack,Nox Color Pack,current,unisex,multi-color blister packs,https://noxsport.com,current_retail,https://www.racketworld.co.uk/products/nox-padel-protector-tape-blue,yes,yes,CURRENT,no,prod-nox-nox-color-pack,Color variants of Nox tape — collapse under transparent/color protector family unless multipack unique.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Nox,NOX Colored / Texture Protector,Texture Protector,,unisex,,,current,,unknown,yes,CURRENT,no,prod-nox-texture-protector,Investigate NOX branded protector variants,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Nox,NOX Padel Wristband,Wristband,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-nox-wristband,Existing draft,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Nox,NOX Transparent Frame Protector,Transparent Protector,,unisex,,,current,,unknown,yes,CURRENT,yes,prod-nox-frame-protector,Existing,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Nox,Transparent Frame Protector,Transparent / Protection Tape,current,unisex,transparent + colored (blue etc),https://noxsport.com,current,https://www.padelmq.com/en-nl/products/nox-protection-tape-transparant-framebeschermer|https://www.racketworld.co.uk/products/nox-padel-protector-tape-blue,yes,yes,CURRENT,no,prod-nox-transparent-protection-tape,3M-adhesive style Nox frame tape; Kitletics transparent SKU seeded; colors are variants.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,weight_system,Nox,Weight Balancer,Weight Balancer 2-4g,current,unisex,2 g + 4 g interchangeable; Weight Balance System rackets only,https://noxsport.com,current,https://www.extreme-tennis.eu/padel-accessories/23570-nox-weight-balancer-padel.html|https://www.padelboost.co.uk/products/nox-weight-balancer-2-4g,yes,yes,CURRENT,no,prod-nox-weight-balancer-2-4g,Brand-specific balance weights for AT10 Genius WBS frames; protector-compatible.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,wristband,Nox,Wristband,Nox Wristband,current,unisex,branded terry,https://noxsport.com/en/collections/accessories,current,https://noxsport.com/en/collections/accessories,yes,yes,CURRENT,yes,prod-nox-wristband,Kitletics draft; collection URL only — pick current 2025/26 model code.,likely,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Pascal Box,Pascal Box Compressor,Compressor,,unisex,,https://pascalbox.com/,current,,unknown,yes,CURRENT,no,prod-pascal-box-compressor,Standalone compressor accessory for Pascal Box containers,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Pascal Box,Pascal Box Compressor Pro,Compressor Pro,,unisex,,https://pascalbox.com/,current,,unknown,yes,CURRENT,no,prod-pascal-box-compressor-pro,Pro compressor SKU on Padel Nuestro,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Pressurebox / other,Pressurebox Pro,Pressurebox Pro,current,unisex,automatic electric (PadeLMQ category),https://www.padelmq.com,current_retail,https://www.padelmq.com/en-eu/collections/%F0%9F%8E%BE-racket-accessoires,yes,yes,UNKNOWN,no,,PadeLMQ lists automatic Pressurebox Pro — verify brand/model before seeding (may overlap Pascal Switch class).,verified,NOT_A_DISTINCT_PRODUCT,Combined multi-brand stub — not a single product identity.
accessories,frame_tape,ShockOut / generic,Edge guard rolls,Frame tape rolls,current,unisex,roll formats vs pre-cut protectors,https://www.shockout.es,current_retail,https://www.shockout.es/,yes,yes,UNKNOWN,no,,Roll-format edge tape vs pre-cut protectors — same job different format; prefer pre-cut brand SKUs.,verified,NOT_A_DISTINCT_PRODUCT,Combined multi-brand stub — not a single product identity.
accessories,weight_system,ShockOut,Gravity+,Gravity+,current,unisex,3×3 g lead strips; colors (blue/black/red/transparent),https://www.shockout.es/tienda/gravity/gravity/,current,https://www.shockout.es/tienda/gravity/gravity/,yes,yes,CURRENT,no,prod-shockout-gravity,Universal lead weight tape blister for balance tuning; racket-agnostic.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,ShockOut,Protection Tape (standard),ShockOut Protector,current,unisex,transparent/colored PVC micro-grid,https://www.shockout.es,current,https://www.time2padel.com/en/padel-accessories/25826-protection-tape-and-overgrip-shockout-100-0062-shockout-padel-765066747190.html,yes,yes,CURRENT,no,prod-shockout-shockout-protector,ShockOut PVC protection tape with NT adhesive; also sold in combo with overgrip.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,ShockOut,Protection Tape Padel Balls,Padel Balls design,current,unisex,transparent padel-ball pattern; ~6 g,https://www.shockout.es,current,https://www.padelmq.com/en-eu/products/protection-tape-padel-bal,yes,yes,CURRENT,no,prod-shockout-padel-balls-design,Design variant of ShockOut protector with padel-ball print; NL PadeLMQ stock.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,Siux,Siux Protector,Protector,,unisex,,,current,,unknown,yes,UNKNOWN,no,,Brand protector range,verified,NOT_COMMERCIALLY_MEANINGFUL,Time2Padel protector brand filter lists SIUX 0; no current Siux-branded protector range evidenced. Softtee/StarVie/Nox fill the protector shelf instead.
accessories,protector,Siux,Transparent Protector Black Logo,Siux Logo Transparent,current,unisex,transparent + black logo,https://siuxpadel.com,current,https://www.time2padel.com/en/protectors/7775-protection-tape-transparent-siux-black-logo-siux-8435536711069.html,yes,yes,CURRENT,no,prod-siux-siux-logo-transparent,Siux branded transparent frame tape.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,ball_basket,Softee,Balls Basket,Softee Basket,current,unisex,red training basket,https://www.softee.es,current_retail,https://padelmania.com/,yes,yes,CURRENT,no,prod-softee-softee-basket,Softee red ball basket on Padelmania.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Softee,Softee Cube Pro,Cube Pro,,unisex,,,current,,unknown,yes,CURRENT,no,prod-softee-cube-pro,Club-scale Cube Pro coming soon on Padel Nuestro,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Softee,Softee Max Tube,Max Tube,,unisex,,,current,,unknown,yes,CURRENT,no,prod-softee-max-tube,Pressure maintainer tube,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Softee,Softee Press Pro X3,Press Pro X3,,unisex,,,current,https://www.padelnuestro.com/int/padel-accessories/ball-pressurizers,unknown,yes,CURRENT,no,prod-softee-press-pro-x3,Softee pressurizer line on ES specialist,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Softee,Softee Press Pro X3 + Pump,Press Pro X3 Pump Bundle,,unisex,,,current,,unknown,yes,CURRENT,no,,Likely commerce bundle of Press Pro X3 + pump — do not duplicate product until confirmed distinct SKU,verified,COMMERCE_BUNDLE,Listing is Press Pro X3 sold with pump accessory — same underlying pressurizer product already cataloged as Softee Press Pro X3. Do not create a second Product.
accessories,protector,Softee,Transparent Protector,Softee Protector,current,unisex,transparent + blue logo,https://www.softee.es,current_retail,https://www.time2padel.com/,yes,yes,CURRENT,no,prod-softee-softee-protector,Softee value protector common on ES marketplaces that ship EU.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,protector,StarVie,StarVie Transparent Protector 2026,Transparent Protector 2026,,unisex,,https://www.padelshack.com/product/starvie-transparent-protector-2026/,current,https://www.padelshack.com/product/starvie-transparent-protector-2026/,limited,yes,CURRENT,yes,prod-starvie-transparent-protector-2026,Brand protector range,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
accessories,pressurizer,Tennis Ball Saver / generic,Tennis Ball Saver,Ball Saver passive,current,unisex,twist passive ~14 PSI class,various,current_retail,https://bestpadellife.com/the-best-padel-ball-pressurizers-top-3-reviewed-compared/,likely,yes,UNKNOWN,no,,Budget passive tennis savers used for padel — low editorial priority but market presence.,verified,NOT_A_DISTINCT_PRODUCT,Combined multi-brand stub — not a single product identity.
accessories,pressurizer,TuboPlus,29PSI X3 + Pump,TuboPlus 29PSI X3,current,unisex,manual adjustable to 29 PSI; 3-ball,https://tubo.plus,current,https://tubo.plus/en/padel-ball-pressurizers/,yes,yes,CURRENT,no,prod-tuboplus-tuboplus-29psi-x3,Active pump TuboPlus 3-ball tier.,verified,CATALOGED_CURRENT,In researched verified/likely inventory and kept in canonical catalog.
