"guide_slug","page_type","hero_src","hero_unique","generator_residue","numbered_heading_ok","status"
"padel-tacky-overgrips","best-guide","/images/padel/products/head-xtreme-soft-overgrip-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-dry-feel-overgrips","best-guide","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-value-overgrips-multipacks","best-guide","/images/padel/products/kuikma-padel-overgrip-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-ergonomic-grip-systems","best-guide","/images/padel/products/hesacore-padel-grip-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-bags","best-guide","/images/padel/products/adidas-protour-padel-bag-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-backpacks","best-guide","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"large-padel-bags","best-guide","/images/padel/products/babolat-rh-pro-padel-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"compact-padel-bags","best-guide","/images/padel/bags/head-tour-team-elite-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-bags-with-shoe-compartments","best-guide","/images/padel/products/nox-at10-team-paletero-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"padel-tournament-bags","best-guide","/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-bags-commuting","best-guide","/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-ball-pressurizers","best-guide","/images/padel/products/bullpadel-pascal-box-3b-hero.jpg","UNIQUE","CLEAN","OK","OK"
"padel-racket-protectors","best-guide","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","COLLISION","CLEAN","OK","NEEDS_FIX"
"bullpadel-vertex-05-vs-hack-04-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-vertex-05-vs-nox-at10-12k-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"nox-at10-12k-vs-adidas-metalbone-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"nox-at10-genius-18k-2026-vs-babolat-technical-viper-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"babolat-technical-viper-vs-counter-viper","comparison","","UNIQUE","CLEAN","OK","OK"
"nox-at10-genius-12k-vs-at10-attack-18k-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-vertex-05-vs-vertex-05-hybrid","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-vertex-04-vs-vertex-05","comparison","","UNIQUE","CLEAN","OK","OK"
"nox-ml10-pro-cup-vs-bullpadel-indiga-ctr","comparison","","UNIQUE","CLEAN","OK","OK"
"head-coello-pro-vs-babolat-technical-viper","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-hack-04-vs-adidas-metalbone-3-5","comparison","","UNIQUE","CLEAN","OK","OK"
"babolat-technical-viper-2026-vs-wilson-bela-pro-v2-2026","comparison","","UNIQUE","CLEAN","OK","OK"
"head-padel-pro-s-vs-pro-plus","comparison","","UNIQUE","CLEAN","OK","OK"
"wilson-premier-vs-premier-padel-speed","comparison","","UNIQUE","CLEAN","OK","OK"
"wilson-pro-vs-bullpadel-hac-overgrip","comparison","","UNIQUE","CLEAN","OK","OK"
"nox-at10-team-vs-babolat-rh-pro","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-pascal-box-vs-head-x3","comparison","","UNIQUE","CLEAN","OK","OK"
"tecnifibre-tour-endurance-vs-nox-at10-team","comparison","","UNIQUE","CLEAN","OK","OK"
"babolat-rh-pro-vs-nox-at10-xxl","comparison","","UNIQUE","CLEAN","OK","OK"
"kuikma-pb-speed-vs-head-padel-pro-s","comparison","","UNIQUE","CLEAN","OK","OK"
"bullpadel-vs-nox-frame-protector","comparison","","UNIQUE","CLEAN","OK","OK"
