category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status
grips,overgrip,Kuikma,Padel Overgrip Pro / Adherence,Overgrip Pro / Adherence,current,unisex,"white/yellow; ~0.6–0.65 mm perforated PU; Decathlon packs",https://www.decathlon.com,current,"https://www.decathlon.sg/p/padel-overgrip-pro-kuikma-8981669.html|https://padel.how/equipment/overgrip/kuikma-padel-adherence-overgrip-review/|https://padelracketnation.nl/producten/overgrip-adce",yes,yes,current,yes,prod-kuikma-overgrip,"Decathlon NL value staple; Kitletics prod-kuikma-overgrip. Adherence/Pro naming variants — treat as one family unless EANs diverge.",confirmed
grips,overgrip,Kuikma,Padel Overgrip Antislip,Antislip,current,unisex,"white/yellow; Decathlon NL listings",https://www.decathlon.nl,current_retail,"https://padelracketnation.nl/producten/overgrip-adce",yes,yes,current,no,,"Distinct Decathlon antislip naming vs Pro/Adherence on NL aggregator — confirm if separate SKU or rename.",needs_reverify
grips,overgrip,Tecnifibre,Players Pro Feel,Players Pro Feel,current,unisex,"white/lime/yellow; 0.60 mm Hydrocell; 3-pack and 30-pack",https://www.tecnifibre.com,current,"https://www.padelreference.com/en/padel-accessories/p/tecnifibre-player-pro-feel-yellow-overgrips-x3|https://www.tiendapadelpoint.com/en/overgrips-tecnifibre-players-pro-feel-lima-3-unidades-en|https://www.padelnuestro.com/pt/pack-30-overgrips-tecnifibre-players-pro-feel",yes,yes,current,no,,"Fast-absorption Hydrocell padel/tennis overgrip; bulk 30 noted not split.",confirmed
grips,overgrip,Tecnifibre,Contact Pro,Contact Pro,current,unisex,"tacky durable alternative",https://www.tecnifibre.com,current_retail,"https://www.padelreference.com/",likely,yes,current,no,,"Cited as tacky Tecnifibre alternative to Players Pro Feel — verify live EU listing.",probable
grips,overgrip,Tourna,Grip Original / Grip XL,Tourna Grip Original XL,current,unisex,"blue dry; XL 99×29 mm preferred for padel; 3/10/30 packs",https://www.unique.com,current,"https://www.padelwarehouse.com/descpage-TGTPXL30.html|https://padelmad.co.uk/equipment/accessories/best-padel-overgrips-2026-complete-uk-buyers-guide/",yes,yes,current,no,,"Dry-when-wet sweat icon; use XL for padel length. Standard vs XL = variant not separate commercial job. Packs not split.",confirmed
grips,overgrip,Tourna,Grip II / Mega Tac,Tourna Grip II,current,unisex,"tacky Tourna fork",https://www.unique.com,current_retail,"https://www.padelwarehouse.com/",likely,yes,current,no,,"Tacky Tourna alternative to Original dry — secondary line for catalog completeness.",probable
grips,overgrip,Yonex,Super Grap,Super Grap,current,unisex,"many colors; 3-pack (+12/30)",https://www.yonex.com,current,"https://www.totalpadel.com/Yonex_Super_Grap_Overgrip_Black/descpageYONEX-YSOG-EN.html",yes,yes,current,no,,"Tennis/badminton crossover heavily stocked for padel; tack + durability staple in 2026 UK guides.",confirmed
grips,ergonomic,Hesacore,Tour Grip (Classic),Tour / Original,current,unisex,"S/M sizes; silicone blend honeycomb sleeve",https://eu.hesacore.com/products/padel-hesacore-tour-grip,current,"https://eu.hesacore.com/products/padel-hesacore-tour-grip|https://www.padelmq.com/en-nl/products/hesacore-grip",yes,yes,current,yes,prod-hesacore-padel,"Flagship ergonomic undergrip; Kitletics prod-hesacore-padel currently conflates family — recommend splitting variants.",confirmed
grips,ergonomic,Hesacore,Gel Grip,Gel,current,unisex,"softest / max vibration cushion",https://shop.hesacore.com/products/padel-hesacore-tour-grip-gel,current,"https://shop.hesacore.com/products/padel-hesacore-tour-grip-gel|https://www.padelmq.com/en-eu/products/hesacore-tour-grip-gel",yes,yes,current,no,,"Distinct Gel material SKU — commercially meaningful vs Tour; do not collapse into single Hesacore product.",confirmed
grips,ergonomic,Hesacore,Carbon Grip,Carbon,current,unisex,"stiff carbon-filament feedback",https://shop.hesacore.com/products/padel-hesacore-carbon-grip,current,"https://shop.hesacore.com/products/padel-hesacore-carbon-grip|https://www.zonadepadel.uk/bullpadel/10149-grip-hesacore-carbon-bullpadel.html|https://padelmarket.com/en-gb/products/bullpadel-hesacore-carbon-tour-grip-black",yes,yes,current,no,,"Stiff/pro Hesacore; also sold co-branded Bullpadel Hesacore Carbon — same system family.",confirmed
grips,ergonomic,Hesacore,Pink / Women's Grip,Pink / W,current,women,"smaller-hand / lighter positioning",https://shop.hesacore.com,current,"https://shop.hesacore.com/products/padel-hesacore-tour-grip-gel",yes,yes,current,no,,"Women/Pink Hesacore size/feel fork listed in Hesacore padel collection.",confirmed
grips,overgrip,ShockOut,Premium / Soft Overgrip,ShockOut Overgrip,current,unisex,"multicolor perforated; x1 and x12 bags",https://www.shockout.es,current,"https://padelmania.com/en/padel-accesaios/25918-protector-and-overgrip-shockout-100-0062-shockout-padel-765066747190.html",yes,yes,current,no,,"ShockOut soft absorbent overgrips; often bundled with protector blister 100-0062.",confirmed
grips,other,ShockOut,Protector + Overgrip Combo,100-0062 Combo,current,unisex,"protector tape + random-color overgrip blister",https://www.shockout.es,current,"https://www.time2padel.com/en/padel-accessories/25826-protection-tape-and-overgrip-shockout-100-0062-shockout-padel-765066747190.html",yes,yes,current,no,,"Combo blister is commercial SKU; classify grip-side as accessory-bundle or dual-list — do not invent separate pack counts.",confirmed
grips,overgrip,Siux,Elite,Elite,current,unisex,"black smooth; 3-pack PU+PET",https://siuxpadel.com,current,"https://padelmania.com/en/padel-accesaios/30708-3-pack-blister-overgrip-siux-elite-black-siux-8436625200594.html",yes,yes,current,no,,"Siux padel Elite overgrip 3-pack widely stocked ES/EU specialists.",confirmed
grips,overgrip,StarVie,Tacky Touch,Tacky Touch,current,unisex,"white/black smooth tacky; 3-pack and box-25",https://www.starvie.com,current,"https://www.padelkiwi.com/en-lt/products/starvie-overgrips-tacky-touch-box-25|https://www.tradeinn.com/smashinn/en/star-vie-tacky-touch-padel-overgrip-25-units/142482937/p",yes,yes,current,no,,"High-tack StarVie overgrip; club box-25 noted not split.",confirmed
grips,overgrip,StarVie,Premier Soft,Premier Soft,current,unisex,"black; soft cushion absorption",https://www.starvie.com,current,"https://www.tradeinn.com/smashinn/en/star-vie-premier-soft-padel-overgrip/142482932/p",yes,yes,current,no,,"Comfort/soft sibling to Tacky Touch — distinct feel job.",confirmed
grips,overgrip,Drop Shot,Super Tacky,Super Tacky,current,unisex,"perforated tacky; 3-pack (+60 tub)",https://www.drop-shot.com,current,"https://pace-shop.be/en/products/padel-accessoires-dropshot-pro-elite-3-pcs|https://www.padelnuestro.com/uk/tub-of-drop-shot-super-tacky-x60-overgrips-30041-p",yes,yes,current,no,,"BE/NL shipping evidence (pace-shop.be); tacky micro-perforated. Bulk tub not separate product.",confirmed
grips,overgrip,Drop Shot,Super Dry,Super Dry,current,unisex,"black/orange/blue; 3-pack absorption",https://www.drop-shot.com,current,"https://www.padelnuestro.com/uk/pack-3-overgrip-drop-shot-super-dry",yes,yes,current,no,,"Dry/absorption Drop Shot fork vs Super Tacky.",confirmed
grips,overgrip,Drop Shot,Club,Club,current,unisex,"multicolor value; 3-pack (+60)",https://www.drop-shot.com,current,"https://www.padelnuestro.com/int/3-pack-of-drop-shot-club-overgrips|https://www.tradeinn.com/smashinn/en/drop-shot-club-padel-overgrip-60-units/137831704/p",yes,yes,current,no,,"Club value Drop Shot overgrip; bulk packs noted.",confirmed
grips,overgrip,Joma,Club Cushion,Club Cushion,current_or_clearance,unisex,"fluor orange and colors; 3-pack resin front",https://www.joma-sport.com,current_retail,"https://www.zonadepadel.com/joma/8683-overgrip-joma-club-cuhsion-orange-fluor.html",likely,yes,current_or_aging,no,,"Zona listing marks deprecated alternatives — keep as aging Joma line; verify 2025/26 replacement before Best guides.",needs_reverify
grips,overgrip,Varlion,Traction / Traction Tricolor,Traction,previous_or_clearance,unisex,"tricolor 3-packs",https://www.varlion.com,unclear,"https://www.varlion.com",unknown,likely,previous_generation,no,,"Traction listings appear discontinued/OOS on some EU shops — research incomplete; do not prioritize onboarding.",needs_reverify
grips,overgrip,Black Crown,Perforated Overgrip,Black Crown Perforated,current,unisex,"3/12/100 packs",https://blackcrownpadel.com,current_retail,"https://www.time2padel.com/",yes,yes,current,no,,"Value Spanish brand overgrips common on Time2Padel/Padelmania; pack sizes not split.",probable
grips,overgrip,Enebe,Lisos / Smooth Overgrip,Enebe Smooth,current,unisex,"white; 3-pack",https://enebepadel.com,current,"https://www.time2padel.com/en/paddle-accessories/31538-head-antishock-skin-padel-288503-head-726423569015.html",yes,yes,current,no,,"Enebe 3-pack smooth white overgrips stocked with protectors.",confirmed
grips,overgrip,Pro Elite / House,Premium Perforated,Pro Elite Premium Perforated,current,unisex,"white; 0.6 mm; single/box-60",https://www.padelmq.com,current_retail,"https://www.padelmq.com/en-nl/products/pro-elite-premium-perforated-white-overgrip-buy-individually",yes,yes,current,no,,"NL-facing PadeLMQ house/private-label premium perforated overgrip — commercially relevant for NL price ladder.",confirmed
grips,other,4ON,TotalGrip Spray,TotalGrip,current,unisex,"100–200 ml anti-slip spray (enhancer not wrap)",https://www.4on.store/products/totalgrip/4on-totalgrip-spray,current,"https://www.4on.store/products/totalgrip/4on-totalgrip-spray|https://www.padelmq.com/en-eu/collections/%F0%9F%8E%BE-racket-accessoires",yes,yes,current,no,,"Grip enhancer spray (Tapia ambassadors); PadeLMQ stocks. Subcategory=other/enhancer — not an overgrip wrap.",confirmed
grips,cushion,Wilson,Cushion / Replacement Aire Classic equivalents,Wilson Replacement Grip,current,unisex,"1 unit base grips used under padel overgrips",https://www.wilson.com,current_retail,"https://www.wilson.com",likely,yes,current,no,,"Tennis replacement grips commonly used as padel base rebuilds; confirm which Wilson replacement models are padel-shelved in NL.",probable
grips,replacement,HEAD,Hydrosorb Pro / Sensation,Hydrosorb family,current,unisex,"thinner Hydrosorb siblings vs Comfort",https://www.head.com,current_retail,"https://tennisshot.gr/",likely,yes,current,no,,"Hydrosorb line has multiple thicknesses — catalog Comfort as primary; add Pro/Sensation only if distinct EU SKUs confirmed.",probable
