URL,entity,surface,before,after,classification_before,classification_after,source,evidence
/products/asics-novablast-5/alternatives,asics-novablast-5,alternatives-best-for,uc-easy-runs,,GENERIC,MISSING,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-novablast-4,asics-novablast-4,pdp-best-for,You're looking for bouncy FF BLAST+ ride.,Enough of what is built for without stretching it into another job.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-best-for,You want enough of what Novablast 4 is built for without stretching it into another job.,Strong clearance value vs Novablast 5/6.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-best-for,You prefer a neutral daily trainer.,,GOOD,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-best-for,Bouncy FF BLAST+ ride,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-not-ideal-for,You need to avoid superseded by newer Novablast generations.,Those looking for superseded by newer Novablast generations.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-not-ideal-for,You're primarily looking for the lightest race-day option.,Those looking for a lightweight race-day shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-not-ideal-for,You prefer ASICS Novablast 5 when a daily trainer is not the weekly job.,Those looking for ASICS Novablast 5 when a daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-not-ideal-for,Superseded by newer Novablast generations,Those looking for Not a race-day plated shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-novablast-4,asics-novablast-4,pdp-buy-if,You're looking for bouncy FF BLAST+ ride.,You're looking for bouncy FF BLAST+ ride.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-4,asics-novablast-4,pdp-buy-if,You want enough of what Novablast 4 is built for without stretching it into another job.,You want enough of what Novablast 4 is built for without stretching it into another job.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-4,asics-novablast-4,pdp-buy-if,You prefer a neutral daily trainer.,You prefer a neutral daily trainer.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-4,asics-novablast-4,pdp-buy-if,,You want bouncy FF BLAST+ ride.,MISSING,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-novablast-4,asics-novablast-4,pdp-skip-if,You need to avoid superseded by newer Novablast generations.,You need to avoid superseded by newer Novablast generations.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-4,asics-novablast-4,pdp-skip-if,You're primarily looking for the lightest race-day option.,You're primarily looking for the lightest race-day option.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-4,asics-novablast-4,pdp-skip-if,You prefer ASICS Novablast 5 when a daily trainer is not the weekly job.,You prefer ASICS Novablast 5 when a daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-4,asics-novablast-4,pdp-skip-if,,Superseded by newer Novablast generations,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-novablast-4/alternatives,asics-novablast-4,alternatives-best-for,uc-daily-training,Enough of what is built for without stretching it into another job.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-novablast-4/alternatives,asics-novablast-4,alternatives-best-for,uc-easy-runs,Strong clearance value vs Novablast 5/6.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-best-for,You're looking for maximum cushioning.,Maximum cushioning.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-best-for,You want a plush ride that still fits max-cushion daily trainer sessions.,Plush ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-best-for,You prefer a neutral max-cushion daily trainer.,Neutral max-cushion daily trainer.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-best-for,Maximum cushioning,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-not-ideal-for,You need to avoid heavier than tempo shoes.,Those looking for heavier than tempo shoes.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-not-ideal-for,You're primarily looking for the lightest race-day option.,Those looking for a lightweight race-day shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-not-ideal-for,You prefer Brooks Ghost 16 when a max-cushion daily trainer is not the weekly job.,Those looking for Brooks Ghost 16 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-not-ideal-for,Heavier than tempo shoes,,GENERIC,MISSING,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-buy-if,You're looking for maximum cushioning.,You're looking for maximum cushioning.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-buy-if,You want a plush ride that still fits max-cushion daily trainer sessions.,You want a plush ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-buy-if,You prefer a neutral max-cushion daily trainer.,You prefer a neutral max-cushion daily trainer.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-skip-if,You need to avoid heavier than tempo shoes.,You need to avoid heavier than tempo shoes.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-skip-if,You're primarily looking for the lightest race-day option.,You're primarily looking for the lightest race-day option.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-skip-if,You prefer Brooks Ghost 16 when a max-cushion daily trainer is not the weekly job.,You prefer Brooks Ghost 16 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-gel-nimbus-27,asics-gel-nimbus-27,pdp-skip-if,,You prefer heavier than tempo shoes.,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/asics-gel-nimbus-27/alternatives,asics-gel-nimbus-27,alternatives-best-for,uc-easy-runs,Maximum cushioning.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-gel-nimbus-27/alternatives,asics-gel-nimbus-27,alternatives-best-for,uc-recovery-runs,Plush ride that still fits max-cushion daily trainer sessions.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/asics-gel-nimbus-27/alternatives,asics-gel-nimbus-27,alternatives-best-for,uc-long-runs,Neutral max-cushion daily trainer.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/nike-pegasus-41,nike-pegasus-41,pdp-best-for,You're looking for versatile workhorse.,Versatile workhorse.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-best-for,You want a balanced ride that still fits stability daily trainer sessions.,Balanced ride that still fits stability daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-best-for,You prefer a neutral stability daily trainer.,Neutral stability daily trainer.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-best-for,Versatile workhorse,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-not-ideal-for,You need to avoid this when not max cushion.,Those looking for this when not max cushion.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-not-ideal-for,You're primarily looking for the lightest race-day option.,Those looking for a lightweight race-day shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-not-ideal-for,You prefer Brooks Ghost 16 when a stability daily trainer is not the weekly job.,Runners who Brooks Ghost 16 when a stability daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-not-ideal-for,Not max cushion,Those looking for not max cushion.,GENERIC,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/nike-pegasus-41,nike-pegasus-41,pdp-buy-if,You're looking for versatile workhorse.,You're looking for versatile workhorse.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/nike-pegasus-41,nike-pegasus-41,pdp-buy-if,You want a balanced ride that still fits stability daily trainer sessions.,You want a balanced ride that still fits stability daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/nike-pegasus-41,nike-pegasus-41,pdp-buy-if,You prefer a neutral stability daily trainer.,You prefer a neutral stability daily trainer.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/nike-pegasus-41,nike-pegasus-41,pdp-skip-if,You need to avoid this when not max cushion.,You need to avoid this when not max cushion.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/nike-pegasus-41,nike-pegasus-41,pdp-skip-if,You're primarily looking for the lightest race-day option.,You're primarily looking for the lightest race-day option.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/nike-pegasus-41,nike-pegasus-41,pdp-skip-if,You prefer Brooks Ghost 16 when a stability daily trainer is not the weekly job.,You prefer Brooks Ghost 16 when a stability daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/nike-pegasus-41,nike-pegasus-41,pdp-skip-if,,You prefer not max cushion.,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/nike-pegasus-41/alternatives,nike-pegasus-41,alternatives-best-for,uc-daily-training,Versatile workhorse.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/nike-pegasus-41/alternatives,nike-pegasus-41,alternatives-best-for,uc-beginners,Balanced ride that still fits stability daily trainer sessions.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/nike-pegasus-41/alternatives,nike-pegasus-41,alternatives-best-for,uc-intermediate,Neutral stability daily trainer.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/brooks-ghost-16,brooks-ghost-16,pdp-best-for,You're looking for beginner-friendly.,This over Novablast 5 when the weekly role matches.,GENERIC,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-best-for,You want a soft ride that still fits max-cushion daily trainer sessions.,Soft ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-best-for,You prefer a neutral max-cushion daily trainer.,,GOOD,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-best-for,Beginner-friendly,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-not-ideal-for,You need to avoid higher drop.,Those looking for higher drop.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-not-ideal-for,You're primarily looking for the lightest race-day option.,Those looking for a lightweight race-day shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-not-ideal-for,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,Those looking for ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-not-ideal-for,Higher drop,Those looking for less energetic than Novablast.,GENERIC,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/brooks-ghost-16,brooks-ghost-16,pdp-buy-if,You're looking for beginner-friendly.,You prefer this over Novablast 5 when the weekly role matches.,GENERIC,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/brooks-ghost-16,brooks-ghost-16,pdp-buy-if,You want a soft ride that still fits max-cushion daily trainer sessions.,You want a soft ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/brooks-ghost-16,brooks-ghost-16,pdp-buy-if,You prefer a neutral max-cushion daily trainer.,You prefer a neutral max-cushion daily trainer.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/brooks-ghost-16,brooks-ghost-16,pdp-buy-if,,You want excellent width range.,MISSING,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/brooks-ghost-16,brooks-ghost-16,pdp-skip-if,You need to avoid higher drop.,You need to avoid higher drop.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/brooks-ghost-16,brooks-ghost-16,pdp-skip-if,You're primarily looking for the lightest race-day option.,You're primarily looking for the lightest race-day option.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/brooks-ghost-16,brooks-ghost-16,pdp-skip-if,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/brooks-ghost-16,brooks-ghost-16,pdp-skip-if,,You prefer less energetic than Novablast.,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/brooks-ghost-16/alternatives,brooks-ghost-16,alternatives-best-for,uc-beginners,This over Novablast 5 when the weekly role matches.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/brooks-ghost-16/alternatives,brooks-ghost-16,alternatives-best-for,uc-daily-training,Soft ride that still fits max-cushion daily trainer sessions.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/brooks-ghost-16/alternatives,brooks-ghost-16,alternatives-best-for,uc-first-5k,,GENERIC,MISSING,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/hoka-clifton-9,hoka-clifton-9,pdp-best-for,You're looking for light for the stack.,Light for the stack.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-best-for,You want a plush ride that still fits max-cushion daily trainer sessions.,Plush ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-best-for,You prefer a neutral max-cushion daily trainer.,Neutral max-cushion daily trainer.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-best-for,Light for the stack,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-not-ideal-for,You need to avoid superseded by Clifton 10 for current catalog picks.,Those looking for superseded by Clifton 10 for current catalog picks.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-not-ideal-for,You're primarily looking for the lightest race-day option.,Those looking for a lightweight race-day shoe.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-not-ideal-for,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,Those looking for ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-not-ideal-for,Superseded by Clifton 10 for current catalog picks,Those looking for Less max stack than Bondi.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/hoka-clifton-9,hoka-clifton-9,pdp-buy-if,You're looking for light for the stack.,You're looking for light for the stack.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/hoka-clifton-9,hoka-clifton-9,pdp-buy-if,You want a plush ride that still fits max-cushion daily trainer sessions.,You want a plush ride that still fits max-cushion daily trainer sessions.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/hoka-clifton-9,hoka-clifton-9,pdp-buy-if,You prefer a neutral max-cushion daily trainer.,You prefer a neutral max-cushion daily trainer.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/hoka-clifton-9,hoka-clifton-9,pdp-buy-if,,You want light for the stack.,MISSING,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/hoka-clifton-9,hoka-clifton-9,pdp-skip-if,You need to avoid superseded by Clifton 10 for current catalog picks.,You need to avoid superseded by Clifton 10 for current catalog picks.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/hoka-clifton-9,hoka-clifton-9,pdp-skip-if,You're primarily looking for the lightest race-day option.,You're primarily looking for the lightest race-day option.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/hoka-clifton-9,hoka-clifton-9,pdp-skip-if,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,You prefer ASICS Novablast 5 when a max-cushion daily trainer is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/hoka-clifton-9,hoka-clifton-9,pdp-skip-if,,Superseded by Clifton 10 for current catalog picks,MISSING,GOOD,review.whoShouldAvoid,"PDP Skip if uses You-form, not Not ideal"
/products/hoka-clifton-9/alternatives,hoka-clifton-9,alternatives-best-for,uc-daily-training,Light for the stack.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/hoka-clifton-9/alternatives,hoka-clifton-9,alternatives-best-for,uc-long-runs,Plush ride that still fits max-cushion daily trainer sessions.,GENERIC,GOOD,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/hoka-clifton-9/alternatives,hoka-clifton-9,alternatives-best-for,uc-heavy,Neutral max-cushion daily trainer.,GENERIC,GENERIC,product.useCaseIds → canonical bestFor,"Alternatives Best for is situation copy, not taxonomy"
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-best-for,You're looking for fast everyday plated shoe.,Fast everyday plated shoe.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-best-for,You want a balanced ride that still fits carbon race shoe sessions.,Balanced ride that still fits carbon race shoe sessions.,GOOD,GOOD,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-best-for,You prefer a neutral carbon race shoe.,Neutral carbon race shoe.,GOOD,GENERIC,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-best-for,Fast everyday plated shoe,,GENERIC,MISSING,review.whoShouldBuy+product.strengths,PDP glance Best for uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-not-ideal-for,You need to avoid superseded by Endorphin Speed 5 for current picks.,Those looking for superseded by Endorphin Speed 5 for current picks.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-not-ideal-for,You're primarily looking for a soft easy-mile daily trainer.,Those looking for soft easy-mile daily trainer.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-not-ideal-for,You prefer Saucony Endorphin Speed 5 when a carbon race shoe is not the weekly job.,Those looking for Saucony Endorphin Speed 5 when a carbon race shoe is not the weekly job.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-not-ideal-for,Superseded by Endorphin Speed 5 for current picks,Those looking for Less soft than max-cushion dailies.,GOOD,GOOD,review.whoShouldAvoid+product.weaknesses,PDP Not ideal uses situation register
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-buy-if,You're looking for fast everyday plated shoe.,You're looking for fast everyday plated shoe.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
/products/saucony-endorphin-speed-4,saucony-endorphin-speed-4,pdp-buy-if,You want a balanced ride that still fits carbon race shoe sessions.,You want a balanced ride that still fits carbon race shoe sessions.,GOOD,GOOD,review.whoShouldBuy,"PDP Should you buy uses You-form, not Best For"
