id,surface,path_or_slug,status_label,severity,n,notes,evidence
HOLD-SEARCH-NOINDEX,seo,/search,search_noindex,INTENTIONAL_HOLD,1,"/search is noindex and excluded from sitemap. Lab /search?q=vomero 200 + noindex. Correct.",rc-81/p0-lab.json search
FUT-VERTICAL-FITNESS,categories,/fitness,future_vertical,FUTURE_ROADMAP,1,"Fitness selective with empty indexableKinds. Deep URLs stay held until programme opens.",vertical-strategy.ts
FUT-VERTICAL-RACKET,categories,/padel;/tennis,future_vertical,FUTURE_ROADMAP,1,"Padel/tennis/hyrox/calisthenics disabled. Do not index deep SKUs.",vertical-strategy.ts
FUT-PRODUCT-NMW,products,held vertical SKUs,NMW,FUTURE_ROADMAP,116,"116 NMW on padel/pickleball/badminton/fitness/tennis. 0 Running. Become owed when those PDPs are promised.",rc-81/inventory.json products.qualityHeldVertical
FUT-PRODUCT-THIN,products,head-padel-pro-s-balls;wilson-padel-overgrip-pack,THIN,FUTURE_ROADMAP,2,"Padel balls/grips. Not INDEXABLE.",rc-81/inventory.json
FUT-BRAND-DEPTH,brands,/brands/*,brand_hub_when_catalog,FUTURE_ROADMAP,1,"Promote hubs only with >=3 authentic published products + signals. Do not pad.",canPublishBrandHub
FUT-GALLERY,media,priority PDPs,gallery_depth,FUTURE_ROADMAP,1,"Legitimate secondary angles beyond 23 products when manufacturer CDNs exist.",rc-81/inventory.json galleryOnIndexable
FUT-OFFER-VALIDATE,commerce,held vertical offers,url_validation,FUTURE_ROADMAP,868,"Day-1 Running overlay complete. Remaining 868 padel/fitness/tennis offers. Do not hide UNKNOWN. Do not invent FR/BE/ZA inventory.",rc-81/inventory.json commerce.validationStates
FUT-OFFER-REGIONS,commerce,BE;FR;ZA;US,regional_ingest,FUTURE_ROADMAP,1,"Ingest verified local offers only. Do not present NL as local.",Fix 12
FUT-FINDER-SCORING,tools,/tools/running-shoe-finder,scoring_tune,FUTURE_ROADMAP,1,"Tune finder weights against expert-labeled scenarios.",running-shoe-finder.ts TODO
FUT-GRAPH-WEAK-REPLACE,relationships,INDEXABLE Running WEAK alts,WEAK,FUTURE_ROADMAP,12,"Replace WEAK only when a genuine unused STRONG same-job peer exists. Do not maximize edge count.",rc-81/graph-audit.json runningIndexableAlts
FUT-NNORMAL-LINE,products,nnormal cadi;kjerag-brut,catalog_gap,FUTURE_ROADMAP,1,"Cadí / Kjerag Brut / apparel not ingested on purpose after Kjerag 02 + Tomir 02.",fixes/69-brand-depth-opportunities.md
FUT-UNGATE-MEDIA,products,compressport;oofos;lululemon;kiprun-trail-10,media_gate,FUTURE_ROADMAP,1,"Ungate authored SKUs only with licensed heroes. Forbidden to invent photography.",Fix 69 media gate
