id,surface,path_or_slug,status_label,severity,n,notes,evidence
HOLD-VERT-TOOLS,tools,/tools/*,vertical_hold,INTENTIONAL_HOLD,13,"25 tools available; 12 INDEXABLE. Held finders are non-Running.",inventory.json tools
HOLD-ALT-CATEGORY,alternatives,/products/*/alternatives,alt_category_or_vertical,INTENTIONAL_HOLD,351,"READY or held pages outside ALTERNATIVES_INDEXABLE_CATEGORIES (shoes/GPS/HRM Day-1; racket/fitness wait). 133 INDEXABLE.",inventory.json alternatives
HOLD-ALT-MARKET,alternatives,"hydrapak-tube-kit;salomon-custom-quiver;nathan-zippered-stash;brooks-notch-thermal-men;salomon-bonatti-wp-women;tracksmith-brighton-ls-men;odlo-active-warm-eco-bottom-men;patagonia-nano-puff-vest-men;smartwool-thermal-merino-glove;nike-therma-fit-glove;craft-adv-lumen-glove;cep-run-compression-sock-3;body-glide-original;squirrels-nut-butter;2toms-sportshield",HOLD_INSUFFICIENT_ALTERNATIVE_MARKET,INTENTIONAL_HOLD,15,"Cluster has fewer than 3 published peers. Not padded. Fix 65 policy.",inventory.json alternatives.marketHolds
HOLD-ALT-DUP,alternatives,nike-dri-fit-miler-women,HOLD_DUPLICATE_INTENT,INTENTIONAL_HOLD,1,"Women Miler tee duplicates men's page intent. Explicit hold.",alternatives-p65-completion.ts
HOLD-BRAND-SMALL,brands,/brands/*,HOLD_INSUFFICIENT_DEPTH,INTENTIONAL_HOLD,54,"Accessory/fuel/recovery 1-2 hero SKUs. Comparison-site scope. Not padded.",fixes/69-brand-depth-opportunities.md
HOLD-BRAND-MEDIA,brands,/brands/*,HOLD_NO_PRODUCTS,INTENTIONAL_HOLD,26,"Zero published products; SKUs draft until licensed hero (raidlight TNF stance etc.).",fixes/69-brand-depth-opportunities.md
HOLD-BRAND-FUTURE,brands,/brands/*,FUTURE_VERTICAL,INTENTIONAL_HOLD,37,"Padel/racket/fitness brand records. Do not pad hubs. Opening verticals is roadmap.",fixes/69-brand-depth-opportunities.md
HOLD-CAT-VERTICAL,categories,/fitness/*;/padel/*;/tennis/*,vertical_hold,INTENTIONAL_HOLD,28,"Non-Running category shells. Not Day-1 INDEXABLE.",inventory.json categories.future
HOLD-CAT-SHELLS,categories,"/padel/bags;/padel/accessories;/padel/clothing;/squash/rackets",empty_shell,INTENTIONAL_HOLD,4,"SOFT_GATED_CATEGORY_SLUGS. Explicit empty. Not missing copy.",inventory.json categories.emptyShells
HOLD-LASTMOD-OMIT,seo,sitemap lastModified,lastmod_omit,INTENTIONAL_HOLD,1113,"1113/1155 sitemap URLs omit lastmod. Fix 32: omit vs seed/verified stamps. 42 genuine stamps remain.",inventory.json sitemap
HOLD-COMMERCE-PARTIAL,commerce,DE;UK,partial_coverage,INTENTIONAL_HOLD,2,"Switcher shows Limited offers. Not claimed as NL-parity.",REGION_COMMERCE_COVERAGE
HOLD-COMMERCE-US,commerce,US,limited_coverage,INTENTIONAL_HOLD,3,"3 offer rows. Switcher: Very limited. UX does not claim US catalog parity.",inventory.json commerce.byRegion
HOLD-COMMERCE-NONE,commerce,BE;FR;ZA,no_coverage,INTENTIONAL_HOLD,3,"0 offer rows. Empty copy: No verified retailer offers currently available in your region.",Fix 12; commerce-readiness.ts
HOLD-CMP-BROKEN-DRAFT,comparisons,COMPARISON_BROKEN_PEER_SLUGS,broken_draft_peers,INTENTIONAL_HOLD,8,"8 slugs with draft/media-gated peers. Not in published 94. Not in sitemap. Do not invent products.",comparisons-p41-completion.ts
HOLD-GRAPH-WEAK,relationships,decision graph WEAK,WEAK,INTENTIONAL_HOLD,484,"0 INVALID. Remaining WEAK is previous-gen/fuel-form/Best routing. Not replaced unless unused STRONG same-job peer existed. INDEXABLE Running alts WEAK=13.",rc-70/graph-audit-summary-after.json
HOLD-PRODUCT-DRAFTS,products,draft;review status,media_gate,INTENTIONAL_HOLD,93,"89 draft + 4 review in dev catalog. Authentic-hero gate. Not in published 625.",inventory.json products.draftByStatus
FUT-VERTICAL-FITNESS,categories,/fitness,future_vertical,FUTURE_ROADMAP,1,"Fitness selective with empty indexableKinds. Deep URLs stay held until programme opens.",vertical-strategy.ts
FUT-VERTICAL-RACKET,categories,/padel;/tennis,future_vertical,FUTURE_ROADMAP,1,"Padel/tennis/hyrox/calisthenics disabled. Do not index deep SKUs.",vertical-strategy.ts
FUT-PRODUCT-NMW,products,held vertical SKUs,NMW,FUTURE_ROADMAP,115,"115 NMW on padel/pickleball/badminton/fitness/tennis. 0 Running. Become owed when those PDPs are promised.",prelaunch-zero-debt-thin-products.ts
FUT-PRODUCT-THIN,products,head-padel-pro-s-balls;wilson-padel-overgrip-pack,THIN,FUTURE_ROADMAP,2,"Padel balls/grips decisionScore 30-40. Not INDEXABLE.",thin product dump
FUT-BRAND-DEPTH,brands,/brands/*,brand_hub_when_catalog,FUTURE_ROADMAP,1,"Promote hubs only with >=3 authentic published products + signals. Do not pad.",canPublishBrandHub
FUT-GALLERY,media,priority PDPs,gallery_depth,FUTURE_ROADMAP,1,"Legitimate secondary angles beyond 23 products when manufacturer CDNs exist.",fixes/21-media-depth.md
FUT-OFFER-VALIDATE,commerce,held vertical offers,url_validation,FUTURE_ROADMAP,1,"Day-1 Running overlay complete (Fix 79). Remaining ~868 padel/fitness/tennis offers. Do not hide UNKNOWN. Do not invent FR/BE/ZA inventory.",fixes/79-full-offer-validation.md
FUT-OFFER-REGIONS,commerce,BE;FR;ZA;US,regional_ingest,FUTURE_ROADMAP,1,"Ingest verified local offers only. Do not present NL as local.",Fix 12
FUT-FINDER-SCORING,tools,/tools/running-shoe-finder,scoring_tune,FUTURE_ROADMAP,1,"Tune finder weights against expert-labeled scenarios.",running-shoe-finder.ts TODO
FUT-GRAPH-WEAK-REPLACE,relationships,INDEXABLE Running WEAK alts,WEAK,FUTURE_ROADMAP,13,"Replace WEAK only when a genuine unused STRONG same-job peer exists. Do not maximize edge count.",fixes/70-decision-graph-quality.md
FUT-NNORMAL-LINE,products,nnormal cadi;kjerag-brut,catalog_gap,FUTURE_ROADMAP,1,"Cadí / Kjerag Brut / apparel not ingested on purpose after Kjerag 02 + Tomir 02.",fixes/69-brand-depth-opportunities.md
FUT-UNGATE-MEDIA,products,compressport;oofos;lululemon;kiprun-trail-10,media_gate,FUTURE_ROADMAP,1,"Ungate authored SKUs only with licensed heroes. Forbidden to invent photography.",Fix 69 media gate
